src,teamSrc,team,name
https://cdn.nba.com/headshots/nba/latest/260x190/1629620.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,Milwaukee Bucks,Justin Robinson
https://cdn.nba.com/headshots/nba/latest/260x190/1629011.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Mitchell Robinson
https://cdn.nba.com/headshots/nba/latest/260x190/1630526.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Oklahoma City Thunder,Jeremiah Robinson-Earl
https://cdn.nba.com/headshots/nba/latest/260x190/1629676.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Oklahoma City Thunder,Isaiah Roby
https://cdn.nba.com/headshots/nba/latest/260x190/200765.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,Los Angeles Lakers,Rajon Rondo
https://cdn.nba.com/headshots/nba/latest/260x190/201565.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Derrick Rose
https://cdn.nba.com/headshots/nba/latest/260x190/203082.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,Orlando Magic,Terrence Ross
https://cdn.nba.com/headshots/nba/latest/260x190/1626179.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,Charlotte Hornets,Terry Rozier
https://cdn.nba.com/headshots/nba/latest/260x190/201937.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,Cleveland Cavaliers,Ricky Rubio
https://cdn.nba.com/headshots/nba/latest/260x190/1626156.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Minnesota Timberwolves,D'Angelo Russell
https://cdn.nba.com/headshots/nba/latest/260x190/1627734.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Indiana Pacers,Domantas Sabonis
https://cdn.nba.com/headshots/nba/latest/260x190/1629677.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Luka Samanic
https://cdn.nba.com/headshots/nba/latest/260x190/203967.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,Phoenix Suns,Dario Saric
https://cdn.nba.com/headshots/nba/latest/260x190/203107.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,New Orleans Pelicans,Tomas Satoransky
